Brand Name,Model,Product Price,Details
blonde gone rogue,SURPLICE  - Top,78.00,"100% polyester, Machine wash at 30°C, B2R21D00L-Q11"
Tommy Hilfiger Curve,REGULAR TEE - Print T-shirt,39.99,"100% cotton, Jersey, Crew neck"
Tommy Jeans,HORIZONTAL STRIPE TEE - Print T-shirt,26.24,"100% cotton, Jersey, Crew neck"
Mango,OPENWORK  - Top,29.99,"100% cotton, Do not tumble dry, machine wash at 30°C"
Even&Odd,Basic T-shirt,7.99,"95% cotton, 5% elastane, Jersey, Standing collar"
-,-,-,-
Anna Field,2 PACK - Top,10.39,"95% cotton, 5% elastane, Jersey, Low-cut v-neck"
Tommy Jeans,SHORTSLEEVE STRETCH TEE - Basic T-shirt,26.99,"95% cotton, 5% elastane, Jersey, Low-cut v-neck"
Tommy Hilfiger,Print T-shirt,26.24,"100% cotton, Jersey, Crew neck"
Even&Odd,BODYSUIT - Long sleeved top,15.99,"95% cotton, 5% elastane, Jersey, Off-the-shoulder"
Anna Field,Basic T-shirt,10.39,"95% viscose, 5% elastane, Jersey, Low-cut v-neck"
Anna Field,Top,8.09,"95% cotton, 5% elastane, Jersey, Square neck"
-,-,-,-
Even&Odd,Print T-shirt,7.79,"100% cotton, Jersey, Crew neck"
Even&Odd,Print T-shirt,7.79,"100% cotton, Jersey, Crew neck"
Even&Odd,2 PACK - Top,13.19,"95% cotton, 5% elastane, 90% polyimide, 10% elastane, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle"
Levi's®,PERFECT TEE - Basic T-shirt,13.99,"100% cotton, Jersey, Crew neck"
Zign,RACER NECK - Top,10.99,"95% cotton, 5% elastane, Rib, Crew neck"
Anna Field,Print T-shirt,8.99,"95% cotton, 5% elastane, Jersey, Crew neck"
Anna Field,Top,15.29,"94% viscose, 6% elastane, 100% polyester, Jersey, chiffon"
Zign,Top,6.59,"95% viscose, 5% elastane, Jersey, Low-cut v-neck"
Zign,Basic T-shirt,8.24,"100% cotton, Jersey, Crew neck"
Guess,REBECCA TEE - Print T-shirt,32.99,"95% cotton, 5% elastane, Jersey, Crew neck"
-,-,-,-
